category,date,sales
Cafe Beverages,2021-01-01 0:00:00,612.4
Cafe Beverages,2021-01-01 5:00:00,357
Cafe Beverages,2021-01-01 7:00:00,119
Cafe Beverages,2021-01-01 8:00:00,1210.86
Cafe Beverages,2021-01-01 9:00:00,3224.35
Cafe Beverages,2021-01-01 10:00:00,4512.46
Cafe Beverages,2021-01-01 11:00:00,10049.49
Cafe Beverages,2021-01-01 12:00:00,13601.88
Cafe Beverages,2021-01-01 13:00:00,16395.21
Cafe Beverages,2021-01-01 14:00:00,20172.44
Cafe Beverages,2021-01-01 15:00:00,19244.89
Cafe Beverages,2021-01-01 16:00:00,21292.33
Cafe Beverages,2021-01-01 17:00:00,24741.32
Cafe Beverages,2021-01-01 18:00:00,20982.72
Cafe Beverages,2021-01-01 19:00:00,18993.31
Cafe Beverages,2021-01-01 20:00:00,12610.22
Cafe Beverages,2021-01-01 21:00:00,8079.46
Cafe Beverages,2021-01-01 22:00:00,4877.53
Cafe Beverages,2021-01-01 23:00:00,464.8
Cafe Beverages,2021-01-02 6:00:00,119
Cafe Beverages,2021-01-02 7:00:00,238
Cafe Beverages,2021-01-02 8:00:00,2140.79
Cafe Beverages,2021-01-02 9:00:00,1803.16
Cafe Beverages,2021-01-02 10:00:00,7172.79
Cafe Beverages,2021-01-02 11:00:00,7989.84
Cafe Beverages,2021-01-02 12:00:00,16952.43
Cafe Beverages,2021-01-02 13:00:00,16275.77
Cafe Beverages,2021-01-02 14:00:00,17301.68
Cafe Beverages,2021-01-02 15:00:00,23764.04
Cafe Beverages,2021-01-02 16:00:00,23928.55
Cafe Beverages,2021-01-02 17:00:00,21808.14
Cafe Beverages,2021-01-02 18:00:00,16581.08
Cafe Beverages,2021-01-02 19:00:00,12418.03
Cafe Beverages,2021-01-02 20:00:00,9257.97
Cafe Beverages,2021-01-02 21:00:00,4560.24
Cafe Beverages,2021-01-02 22:00:00,2706.22
Cafe Beverages,2021-01-02 23:00:00,396
Cafe Beverages,2021-01-03 0:00:00,582.17
Cafe Beverages,2021-01-03 1:00:00,176.04
Cafe Beverages,2021-01-03 5:00:00,238
Cafe Beverages,2021-01-03 6:00:00,357
Cafe Beverages,2021-01-03 7:00:00,119
Cafe Beverages,2021-01-03 8:00:00,615.28
Cafe Beverages,2021-01-03 9:00:00,2502.94
Cafe Beverages,2021-01-03 10:00:00,5061.35
Cafe Beverages,2021-01-03 11:00:00,9814.9
Cafe Beverages,2021-01-03 12:00:00,14991.87
Cafe Beverages,2021-01-03 13:00:00,19826.82
Cafe Beverages,2021-01-03 14:00:00,18389.61
Cafe Beverages,2021-01-03 15:00:00,22402.38
Cafe Beverages,2021-01-03 16:00:00,17969.74
Cafe Beverages,2021-01-03 17:00:00,24613.35
Cafe Beverages,2021-01-03 18:00:00,16921.54
Cafe Beverages,2021-01-03 19:00:00,17523.57
Cafe Beverages,2021-01-03 20:00:00,9421.55
Cafe Beverages,2021-01-03 21:00:00,5934.21
Cafe Beverages,2021-01-03 22:00:00,3313.15
Cafe Beverages,2021-01-03 23:00:00,1272.78
Cafe Beverages,2021-01-04 0:00:00,397.09
Cafe Beverages,2021-01-04 5:00:00,833
Cafe Beverages,2021-01-04 6:00:00,238
Cafe Beverages,2021-01-04 7:00:00,595
Cafe Beverages,2021-01-04 8:00:00,1091.28
Cafe Beverages,2021-01-04 9:00:00,713.21
Cafe Beverages,2021-01-04 10:00:00,2532.63
Cafe Beverages,2021-01-04 11:00:00,7395.55
Cafe Beverages,2021-01-04 12:00:00,6463.05
Cafe Beverages,2021-01-04 13:00:00,10314.03
Cafe Beverages,2021-01-04 14:00:00,11181.32
Cafe Beverages,2021-01-04 15:00:00,14422.47
Cafe Beverages,2021-01-04 16:00:00,15009.37
Cafe Beverages,2021-01-04 17:00:00,14323.22
Cafe Beverages,2021-01-04 18:00:00,12793.12
Cafe Beverages,2021-01-04 19:00:00,12023.49
Cafe Beverages,2021-01-04 20:00:00,9427.48
Cafe Beverages,2021-01-04 21:00:00,3586.69
Cafe Beverages,2021-01-04 22:00:00,2623.56
Cafe Beverages,2021-01-04 23:00:00,493.39
Cafe Beverages,2021-01-05 0:00:00,79.87
Cafe Beverages,2021-01-05 5:00:00,833
Cafe Beverages,2021-01-05 7:00:00,119
Cafe Beverages,2021-01-05 8:00:00,1975.82
Cafe Beverages,2021-01-05 9:00:00,866.36
Cafe Beverages,2021-01-05 10:00:00,3195.95
Cafe Beverages,2021-01-05 11:00:00,6984.22
Cafe Beverages,2021-01-05 12:00:00,9155.62
Cafe Beverages,2021-01-05 13:00:00,11088.09
Cafe Beverages,2021-01-05 14:00:00,14260.23
Cafe Beverages,2021-01-05 15:00:00,13616.3
Cafe Beverages,2021-01-05 16:00:00,15948.66
Cafe Beverages,2021-01-05 17:00:00,14996.88
Cafe Beverages,2021-01-05 18:00:00,13037.62
Cafe Beverages,2021-01-05 19:00:00,9510.05
Cafe Beverages,2021-01-05 20:00:00,6640.49
Cafe Beverages,2021-01-05 21:00:00,4857.87
Cafe Beverages,2021-01-05 22:00:00,3622.27
Cafe Beverages,2021-01-05 23:00:00,426
Cafe Beverages,2021-01-06 0:00:00,256.89
Cafe Beverages,2021-01-06 1:00:00,198
Cafe Beverages,2021-01-06 6:00:00,238
Cafe Beverages,2021-01-06 7:00:00,119
Cafe Beverages,2021-01-06 8:00:00,388.51
Cafe Beverages,2021-01-06 9:00:00,2044.7
Cafe Beverages,2021-01-06 10:00:00,3111.76
Cafe Beverages,2021-01-06 11:00:00,6692.64
Cafe Beverages,2021-01-06 12:00:00,6100.76
Cafe Beverages,2021-01-06 13:00:00,10891.79
Cafe Beverages,2021-01-06 14:00:00,13086.65
Cafe Beverages,2021-01-06 15:00:00,12636.36
Cafe Beverages,2021-01-06 16:00:00,11820.62
Cafe Beverages,2021-01-06 17:00:00,9939.7
Cafe Beverages,2021-01-06 18:00:00,14044.4
Cafe Beverages,2021-01-06 19:00:00,10865.07
Cafe Beverages,2021-01-06 20:00:00,7762.54
Cafe Beverages,2021-01-06 21:00:00,4542.8
Cafe Beverages,2021-01-06 22:00:00,1588.04
Cafe Beverages,2021-01-06 23:00:00,932.55
Cafe Beverages,2021-01-07 0:00:00,319.51
Cafe Beverages,2021-01-07 2:00:00,89.04
Cafe Beverages,2021-01-07 5:00:00,119
Cafe Beverages,2021-01-07 6:00:00,238
Cafe Beverages,2021-01-07 7:00:00,396
Cafe Beverages,2021-01-07 8:00:00,562.66
Cafe Beverages,2021-01-07 9:00:00,1369.62
Cafe Beverages,2021-01-07 10:00:00,3112.3
Cafe Beverages,2021-01-07 11:00:00,7642.77
Cafe Beverages,2021-01-07 12:00:00,6532.64
Cafe Beverages,2021-01-07 13:00:00,9998.76
Cafe Beverages,2021-01-07 14:00:00,10950.3
Cafe Beverages,2021-01-07 15:00:00,13724.07
Cafe Beverages,2021-01-07 16:00:00,13203.06
Cafe Beverages,2021-01-07 17:00:00,13945.41
Cafe Beverages,2021-01-07 18:00:00,12080.76
Cafe Beverages,2021-01-07 19:00:00,8286.51
Cafe Beverages,2021-01-07 20:00:00,8296.56
Cafe Beverages,2021-01-07 21:00:00,4868.93
Cafe Beverages,2021-01-07 22:00:00,2058.12
Cafe Beverages,2021-01-07 23:00:00,1324.34
Cafe Beverages,2021-01-08 0:00:00,788.3
Cafe Beverages,2021-01-08 1:00:00,470
Cafe Beverages,2021-01-08 4:00:00,119
Cafe Beverages,2021-01-08 5:00:00,119
Cafe Beverages,2021-01-08 7:00:00,487.22
Cafe Beverages,2021-01-08 8:00:00,1145.96
Cafe Beverages,2021-01-08 9:00:00,3817.99
Cafe Beverages,2021-01-08 10:00:00,3113.4
Cafe Beverages,2021-01-08 11:00:00,5394.58
Cafe Beverages,2021-01-08 12:00:00,7174.72
Cafe Beverages,2021-01-08 13:00:00,9876.65
Cafe Beverages,2021-01-08 14:00:00,10390.8
Cafe Beverages,2021-01-08 15:00:00,17483.95
Cafe Beverages,2021-01-08 16:00:00,13757.71
Cafe Beverages,2021-01-08 17:00:00,13937.31
Cafe Beverages,2021-01-08 18:00:00,12615.44
Cafe Beverages,2021-01-08 19:00:00,10163.91
Cafe Beverages,2021-01-08 20:00:00,6940.11
Cafe Beverages,2021-01-08 21:00:00,5036.98
Cafe Beverages,2021-01-08 22:00:00,2461.72
Cafe Beverages,2021-01-08 23:00:00,196.39
Cafe Beverages,2021-01-09 1:00:00,187.6
Cafe Beverages,2021-01-09 2:00:00,61.87
Cafe Beverages,2021-01-09 5:00:00,238
Cafe Beverages,2021-01-09 6:00:00,357
Cafe Beverages,2021-01-09 7:00:00,299.64
Cafe Beverages,2021-01-09 8:00:00,809.38
Cafe Beverages,2021-01-09 9:00:00,1944.95
Cafe Beverages,2021-01-09 10:00:00,3841.84
Cafe Beverages,2021-01-09 11:00:00,6170.19
Cafe Beverages,2021-01-09 12:00:00,11634.88
Cafe Beverages,2021-01-09 13:00:00,16738.38
Cafe Beverages,2021-01-09 14:00:00,14778.85
Cafe Beverages,2021-01-09 15:00:00,18313.04
Cafe Beverages,2021-01-09 16:00:00,20238.57
Cafe Beverages,2021-01-09 17:00:00,23024.4
Cafe Beverages,2021-01-09 18:00:00,17140.38
Cafe Beverages,2021-01-09 19:00:00,14769.23
Cafe Beverages,2021-01-09 20:00:00,10629.3
Cafe Beverages,2021-01-09 21:00:00,6112.53
Cafe Beverages,2021-01-09 22:00:00,4187.73
Cafe Beverages,2021-01-09 23:00:00,886.1
Cafe Beverages,2021-01-10 0:00:00,465.33
Cafe Beverages,2021-01-10 1:00:00,85.2
Cafe Beverages,2021-01-10 4:00:00,119
Cafe Beverages,2021-01-10 6:00:00,821.1
Cafe Beverages,2021-01-10 8:00:00,1040.71
Cafe Beverages,2021-01-10 9:00:00,2201.24
Cafe Beverages,2021-01-10 10:00:00,4855.75
Cafe Beverages,2021-01-10 11:00:00,8161.72
Cafe Beverages,2021-01-10 12:00:00,13599.43
Cafe Beverages,2021-01-10 13:00:00,16663.1
Cafe Beverages,2021-01-10 14:00:00,19885.65
Cafe Beverages,2021-01-10 15:00:00,18282.08
Cafe Beverages,2021-01-10 16:00:00,23677.95
Cafe Beverages,2021-01-10 17:00:00,25715.75
Cafe Beverages,2021-01-10 18:00:00,22938.7
Cafe Beverages,2021-01-10 19:00:00,12860.98
Cafe Beverages,2021-01-10 20:00:00,11053.77
Cafe Beverages,2021-01-10 21:00:00,6516.17
Cafe Beverages,2021-01-10 22:00:00,3436.28
Cafe Beverages,2021-01-10 23:00:00,495.35
